tabla;cantidad_columnas;cantidad_filas
accion_operativa_cfg;7;168
accion_set_cfg;7;11
accion_set_detalle_canal_cfg;6;274
accion_set_detalle_cfg;10;246
activacion_del_plan_trs;15;0
activacion_nivel_hist_trs;23;3
asignacion_en_funciones_trs;11;1
cache;3;0
cache_locks;3;0
canal_comunicacion_cat;7;4
criterio_riesgo_cfg;24;11
cronologia_emergencia_trs;10;1
dominio_enum_cat;8;8
ejecucion_accion_trs;10;1
ev_lugar_contacto_mst;6;25
ev_lugar_coordenada_mst;6;38
ev_lugar_mst;7;38
failed_jobs;7;0
fase_activacion_cat;6;3
grupo_operativo_cat;7;8
jobs;7;0
job_batches;10;0
lugar_tipo_cat;4;14
migrations;3;8
nivel_alerta_cat;8;5
nivel_emergencia_cat;8;4
notas_operativas_trs;8;1
notificacion_confirmacion_trs;6;1
notificacion_envio_trs;11;1
password_reset_tokens;3;0
personal_access_tokens;10;15
persona_mst;11;18
persona_rol_cfg;8;25
persona_rol_grupo_cfg;11;25
riesgo_cat;10;9
riesgo_nivel_accion_set_cfg;8;18
rol_cat;7;14
sessions;6;0
tenants;5;1
tenant_languages;6;3
tipo_emergencia_cat;7;2
tipo_riesgo_cat;7;2
tipo_riesgo_nivel_accion_set_cfg;8;4
users;10;1
